summary_date,site,no_davg,name,obs_count,units 
2001-12-25,2373,0.013,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2001-12-25,2125,0.027,Redwood City,23,Parts Per Million ( ppm ) 
2001-12-25,2413,0.048,San Jose-4th Street,23,Parts Per Million ( ppm ) 
2001-12-25,2410,0.002,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2001-12-25,2105,0.008,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2001-12-25,3026,0.020,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,3009,0.018,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2001-12-25,2013,0.020,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
2001-12-25,2844,0.013,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2001-12-25,2114,0.003,Parlier,23,Parts Per Million ( ppm ) 
2001-12-25,2941,0.001,Arvin-Bear Mountain Blvd,23,Parts Per Million ( ppm ) 
2001-12-25,3146,0.023,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,3145,0.026,Bakersfield-Golden State Highway,23,Parts Per Million ( ppm ) 
2001-12-25,2312,0.004,Edison,23,Parts Per Million ( ppm ) 
2001-12-25,2772,0.012,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2001-12-25,2981,0.007,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2001-12-25,3129,0.002,Hanford-S Irwin Street,23,Parts Per Million ( ppm ) 
2001-12-25,3211,0.004,Madera-Pump Yard,23,Parts Per Million ( ppm ) 
2001-12-25,3022,0.008,Merced-S Coffee Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,2094,0.013,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
